问题id,问题文本,知识点名称,认知目标层次,知识点类型
GdgIHIYVXZrjKQ1TCaN,我国著名数学家华罗庚曾为普及优选法作出重要贡献．优选法中有一种0.618法应用了(   )A．黄金分割数B．平均数C．众数D．中位数,中位数,记忆,知识点
GdgIHIYVXZrjKQ1TCaN,我国著名数学家华罗庚曾为普及优选法作出重要贡献．优选法中有一种0.618法应用了(   )A．黄金分割数B．平均数C．众数D．中位数,黄金分割,理解,知识点
GdgIHIYVXZrjKQ1TCaN,我国著名数学家华罗庚曾为普及优选法作出重要贡献．优选法中有一种0.618法应用了(   )A．黄金分割数B．平均数C．众数D．中位数,平均数,记忆,知识点
GdgIHIYVXZrjKQ1TCaN,我国著名数学家华罗庚曾为普及优选法作出重要贡献．优选法中有一种0.618法应用了(   )A．黄金分割数B．平均数C．众数D．中位数,众数,记忆,知识点
Ged9RMNYMuXzQ4bCcgs,先化简，再求值： $\frac{a^2-4a+4}{a^2-4}\div\frac{a-2}{a^2+2a}+$ 3，其中a $=\sqrt3-$ 3．,分式的化简与求值,应用,题型
gej0wH4CYLPgL2zOH6I,2022年6月5日10时44分07秒，神舟14号飞船成功发射，将陈冬、刘洋、蔡旭哲三位宇航员送入了中国空间站．已知中国空间站绕地球运行的速度约为7.7×10<sup>3</sup>m/s，则中国空间站绕地球运行2×10<sup>2</sup>s走过的路程（m）用科学记数法可表示为(   )A．15.4×10<sup>5</sup> B．1.54×10<sup>6</sup> C．15.4×10<sup>6</sup>D．1.54×10<sup>7</sup>,幂的综合运算,应用,题型
gej0wH4CYLPgL2zOH6I,2022年6月5日10时44分07秒，神舟14号飞船成功发射，将陈冬、刘洋、蔡旭哲三位宇航员送入了中国空间站．已知中国空间站绕地球运行的速度约为7.7×10<sup>3</sup>m/s，则中国空间站绕地球运行2×10<sup>2</sup>s走过的路程（m）用科学记数法可表示为(   )A．15.4×10<sup>5</sup> B．1.54×10<sup>6</sup> C．15.4×10<sup>6</sup>D．1.54×10<sup>7</sup>,用科学记数法表示数及递用还原数,应用,题型
giKTRWbmuzFRAkIvM45,有大小两种货车，3辆大货车与4辆小货车一次可以运货22吨，5辆大货车与2辆小货车一次可以运货25吨，则4辆大货车与3辆小货车一次可以运货 　            　吨．,列二元一次方程组解决运输问题,应用,题型
gOibwm6ecXiqkyq7PrE,化简分式： $\frac{ma}{a+b}+\frac{mb}{a+b}=$ 　                 　．,分式的加减运算,应用,题型
gTVz5DHXlpi6Es3qnFx,已知一元二次方程x<sup>2</sup>﹣3x+k＝0的两个实数根为x<sub>1</sub>，x<sub>2</sub>，若x<sub>1</sub>x<sub>2</sub>+2x<sub>1</sub>+2x<sub>2</sub>＝1，则实数k＝　                    ．,一元二次方程的根与系数的关系（韦达定理）,理解,知识点
gTVz5DHXlpi6Es3qnFx,已知一元二次方程x<sup>2</sup>﹣3x+k＝0的两个实数根为x<sub>1</sub>，x<sub>2</sub>，若x<sub>1</sub>x<sub>2</sub>+2x<sub>1</sub>+2x<sub>2</sub>＝1，则实数k＝　                    ．,用韦达定理求参数的值,应用,题型
GW2fAzhJY1ZiBvmNSGI,计算： $(-1)^0+\vert-5\vert-\sqrt4$ ．,绝对值的性质,理解,知识点
GW2fAzhJY1ZiBvmNSGI,计算： $(-1)^0+\vert-5\vert-\sqrt4$ ．,零指数幂,记忆,知识点
GW2fAzhJY1ZiBvmNSGI,计算： $(-1)^0+\vert-5\vert-\sqrt4$ ．,算术平方根的定义,记忆,知识点
GW2fAzhJY1ZiBvmNSGI,计算： $(-1)^0+\vert-5\vert-\sqrt4$ ．,实数的运算,应用,题型
GwNr79o4vXe1GGhQROQ,求不等式组 $\left\{\begin{array}{l}x+3＞1，①\2x-1\leq x②\end{array}\right.$ 的整数解．,求一元一次不等式组的特殊解,应用,题型
HbdRgsndRa2hXgefYbi,计算： $\sqrt[3]{-\frac18}+$ cos60°﹣（﹣2022）<sup>0</sup>＝　                 　．,求一个数的立方根,应用,题型
HbdRgsndRa2hXgefYbi,计算： $\sqrt[3]{-\frac18}+$ cos60°﹣（﹣2022）<sup>0</sup>＝　                 　．,零指数幂,记忆,知识点
HbdRgsndRa2hXgefYbi,计算： $\sqrt[3]{-\frac18}+$ cos60°﹣（﹣2022）<sup>0</sup>＝　                 　．,特殊角的三角函数值,记忆,知识点
HbdRgsndRa2hXgefYbi,计算： $\sqrt[3]{-\frac18}+$ cos60°﹣（﹣2022）<sup>0</sup>＝　                 　．,实数的运算,应用,题型
HEhtoI5Zg0km6OUF4F2,为了加快数字化城市建设，某市计划新建一批智能充电桩，第一个月新建了301个充电桩，第三个月新建了500个充电桩，设该市新建智能充电桩个数的月平均增长率为x，根据题意，请列出方程 　                        　．,列一元二次方程解决增长率问题,应用,题型
HIoZS1ExMCCwXsDC0u6,若点（0，y<sub>1</sub>），（1，y<sub>2</sub>），（2，y<sub>3</sub>）都在二次函数y＝x<sup>2</sup>的图象上，则(   )A．y<sub>3</sub>＞y<sub>2</sub>＞y<sub>1</sub> B．y<sub>2</sub>＞y<sub>1</sub>＞y<sub>3</sub> C．y<sub>1</sub>＞y<sub>3</sub>＞y<sub>2</sub> D．y<sub>3</sub>＞y<sub>1</sub>＞y<sub>2</sub>,二次函数图象的增减性,理解,知识点
HIoZS1ExMCCwXsDC0u6,若点（0，y<sub>1</sub>），（1，y<sub>2</sub>），（2，y<sub>3</sub>）都在二次函数y＝x<sup>2</sup>的图象上，则(   )A．y<sub>3</sub>＞y<sub>2</sub>＞y<sub>1</sub> B．y<sub>2</sub>＞y<sub>1</sub>＞y<sub>3</sub> C．y<sub>1</sub>＞y<sub>3</sub>＞y<sub>2</sub> D．y<sub>3</sub>＞y<sub>1</sub>＞y<sub>2</sub>,二次函数值的大小比较,应用,题型
hjjxWi6megcho03bnBi,某校学生去距离学校12km的博物馆参观，一部分学生骑自行车先走，过了20min后，其余学生乘汽车出发，结果他们同时到达．已知汽车的速度是骑车学生速度的2倍，汽车的速度是(   )A．0.2km/minB．0.3km/min C．0.4km/min D．0.6km/min,列分式方程解决行程问题,应用,题型
hls7JNGbiP1TkO5GD1U,计算 $\frac3a+\frac2a$ 的结果为(   )A． $\frac1a$ B． $\frac6{a^2}$  C． $\frac5a$  D． $\frac6a$,分式的加减法则,理解,知识点
hls7JNGbiP1TkO5GD1U,计算 $\frac3a+\frac2a$ 的结果为(   )A． $\frac1a$ B． $\frac6{a^2}$  C． $\frac5a$  D． $\frac6a$,分式的加减运算,应用,题型
HP0Zuy16mX3ywVLAz1D,对于一个四位自然数M，若它的千位数字比个位数字多6，百位数字比十位数字多2，则称M为“天真数”．如：四位数7311，∵7﹣1＝6，3﹣1＝2，∴7311是“天真数”；四位数8421，∵8﹣1≠6，∴8421不是“天真数”，则最小的“天真数”为 　             　；一个“天真数”M的千位数字为a，百位数字为b，十位数字为c，个位数字为d，记P（M）＝3（a+b）+c+d，Q（M）＝a﹣5，若 $\frac{P(M)}{Q(M)}$ 能被10整除，则满足条件的M的最大值为 　                 　．,新定义中的材料阅读问题,分析,题型
HRikKXwlZHHJOLvuURm,计算： $-2⋅cos45^\circ+(\pi-3.14)^0+$  $\vert1-\sqrt2\vert+(\frac14)^{-1}$ ．,特殊角的三角函数值,记忆,知识点
HRikKXwlZHHJOLvuURm,计算： $-2⋅cos45^\circ+(\pi-3.14)^0+$  $\vert1-\sqrt2\vert+(\frac14)^{-1}$ ．,绝对值的性质,理解,知识点
HRikKXwlZHHJOLvuURm,计算： $-2⋅cos45^\circ+(\pi-3.14)^0+$  $\vert1-\sqrt2\vert+(\frac14)^{-1}$ ．,零指数幂,记忆,知识点
HRikKXwlZHHJOLvuURm,计算： $-2⋅cos45^\circ+(\pi-3.14)^0+$  $\vert1-\sqrt2\vert+(\frac14)^{-1}$ ．,负整数指数幂,记忆,知识点
HRikKXwlZHHJOLvuURm,计算： $-2⋅cos45^\circ+(\pi-3.14)^0+$  $\vert1-\sqrt2\vert+(\frac14)^{-1}$ ．,实数的运算,应用,题型
hup1F7TxlT23Xphb0Xw,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>5</sup>＝a<sup>10</sup> B．a<sup>8</sup>÷a<sup>2</sup>＝a<sup>4</sup> C．﹣2a+5a＝7aD．（a<sup>2</sup>）<sup>5</sup>＝a<sup>10</sup>,同底数幂的乘法运算法则,理解,知识点
hup1F7TxlT23Xphb0Xw,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>5</sup>＝a<sup>10</sup> B．a<sup>8</sup>÷a<sup>2</sup>＝a<sup>4</sup> C．﹣2a+5a＝7aD．（a<sup>2</sup>）<sup>5</sup>＝a<sup>10</sup>,幂的乘方运算法则,理解,知识点
hup1F7TxlT23Xphb0Xw,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>5</sup>＝a<sup>10</sup> B．a<sup>8</sup>÷a<sup>2</sup>＝a<sup>4</sup> C．﹣2a+5a＝7aD．（a<sup>2</sup>）<sup>5</sup>＝a<sup>10</sup>,同底数幂的除法运算法则,理解,知识点
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,积的乘方运算法则,理解,知识点
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,积的乘方的运算,应用,题型
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,同底数幂的乘法运算法则,理解,知识点
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,幂的乘方的运算,应用,题型
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,完全平方公式的定义,记忆,知识点
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,同底数幂的运算,应用,题型
hWoxauQs11HKrGhnuTy,下列计算正确的是(   )A．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> B．（a<sup>3</sup>）<sup>4</sup>＝a<sup>12</sup>   C．（3a）<sup>2</sup>＝6a<sup>2</sup> D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,幂的乘方运算法则,理解,知识点
HZ5DXLHWAlfjOX0OP8U,已知m为正整数，若 $\sqrt{189m}$ 是整数，则根据 $\sqrt{189m}=\sqrt{3\times3\times3\times7m}=$ 3 $\sqrt{3\times7m}$ 可知m有最小值3×7＝21．设n为正整数，若 $\sqrt{\frac{300}n}$ 是大于1的整数，则n的最小值为 　            　，最大值为 　            　.,数的规律问题,分析,题型
HzacQVrJY2mwmgsRcho,从2名男生和2名女生中任选2名学生参加志愿者服务，那么选出的2名学生中至少有1名女生的概率是 　               　．,用树状图法求概率,应用,题型
I6D3LgmqjdxzsIEaxVI,下列运算正确的是(   )A．a<sup>9</sup>﹣a<sup>7</sup>＝a<sup>2</sup>B．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup>   C．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> D．（﹣2a<sup>2</sup>b）<sup>2</sup>＝4a<sup>4</sup>b<sup>2</sup>,积的乘方运算法则,理解,知识点
I6D3LgmqjdxzsIEaxVI,下列运算正确的是(   )A．a<sup>9</sup>﹣a<sup>7</sup>＝a<sup>2</sup>B．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup>   C．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> D．（﹣2a<sup>2</sup>b）<sup>2</sup>＝4a<sup>4</sup>b<sup>2</sup>,同底数幂的乘法运算法则,理解,知识点
I6D3LgmqjdxzsIEaxVI,下列运算正确的是(   )A．a<sup>9</sup>﹣a<sup>7</sup>＝a<sup>2</sup>B．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup>   C．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> D．（﹣2a<sup>2</sup>b）<sup>2</sup>＝4a<sup>4</sup>b<sup>2</sup>,同底数幂的除法运算法则,理解,知识点
I6D3LgmqjdxzsIEaxVI,下列运算正确的是(   )A．a<sup>9</sup>﹣a<sup>7</sup>＝a<sup>2</sup>B．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup>   C．a<sup>2</sup>•a<sup>3</sup>＝a<sup>6</sup> D．（﹣2a<sup>2</sup>b）<sup>2</sup>＝4a<sup>4</sup>b<sup>2</sup>,合并同类项定义与法则,理解,知识点
Idp0gSDESOMhbwsdUIW,对任意一个四位数m，如果m各个数位上的数字都不为零且互不相同，满足个位与千位的和等于十位与百位的和，那么称这个数为“镜面数”，将一个“镜面数”个位与千位两个数位对调后得到一个新的四位数m<sub>1</sub>，将它的十位与百位两个数位对调后得到另一个新四位数m<sub>2</sub>，记 ${\mathrm F}_{(\mathrm m)}=\frac{{\mathrm m}_1+{\mathrm m}_2}{1111}$ .例如m=1234，对调个位与千位上的数字得到m<sub>1</sub>=4231，对调十位与百位上的数字得到m<sub>2</sub>=1324，这两个四位数的和为m<sub>1</sub>+m<sub>2</sub>=4231+1324=5555，所以 ${\mathrm F}_{(1234)}=\frac{{\mathrm m}_1+{\mathrm m}_2}{1111}=\frac{5555}{1111}=5$ .若s，t都是“镜面数”，其中s=1000x+100y+32，t=1500+10e+f(1≤x≤9，1≤y≤9，1≤e≤9，1≤f≤9，x，y，e，f都是正整数)，规定： $\mathrm k=\frac{{\mathrm F}_{(\mathrm s)}}{{\mathrm F}_{(\mathrm t)}}$ ，当F<sub>(s)</sub>+F<sub>(t)</sub>=19时，k的最大值为               .,新定义中的材料阅读问题,分析,题型
IgOQGTOMWm15nXLQ1Fc,若3 $-\sqrt2$ 的整数部分为a，小数部分为b，则代数式（2 $+\sqrt2$ a）•b的值是 　               　．,平方差公式的定义,记忆,知识点
IgOQGTOMWm15nXLQ1Fc,若3 $-\sqrt2$ 的整数部分为a，小数部分为b，则代数式（2 $+\sqrt2$ a）•b的值是 　               　．,利用平方差公式进行计算,应用,题型
IgOQGTOMWm15nXLQ1Fc,若3 $-\sqrt2$ 的整数部分为a，小数部分为b，则代数式（2 $+\sqrt2$ a）•b的值是 　               　．,无理数小数部分的确定问题,分析,题型
iPxamGSMxDZsdO93azo,一艘轮船在静水中的速度为30km/h，它沿江顺流航行144km与逆流航行96km所用时间相等，江水的流速为多少？设江水流速为vkm/h，则符合题意的方程是(   )A． $\frac{144}{30+v}=\frac{96}{30-v}$  B． $\frac{144}{30-v}=\frac{96}v$    C． $\frac{144}{30-v}=\frac{96}{30+v}$  D． $\frac{144}v=\frac{96}{30+v}$,列分式方程解决航行问题,应用,题型
iqbEACL1D6lxxxRxCrr,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数，a＜0）经过（﹣1，1），（m，1）两点，且0＜m＜1．下列四个结论：①b＞0；②若0＜x＜1，则a（x﹣1）<sup>2</sup>+b（x﹣1）+c＞1；③若a＝﹣1，则关于x的一元二次方程ax<sup>2</sup>+bx+c＝2无实数解；④点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，若x<sub>1</sub>+x<sub>2</sub> $＞-\frac12$ ，x<sub>1</sub>＞x<sub>2</sub>，总有y<sub>1</sub>＜y<sub>2</sub>，则0＜m $\leq\frac12$ ．其中正确的是 　             　（填写序号）．,二次函数图象与性质的综合判断,分析,题型
iqbEACL1D6lxxxRxCrr,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数，a＜0）经过（﹣1，1），（m，1）两点，且0＜m＜1．下列四个结论：①b＞0；②若0＜x＜1，则a（x﹣1）<sup>2</sup>+b（x﹣1）+c＞1；③若a＝﹣1，则关于x的一元二次方程ax<sup>2</sup>+bx+c＝2无实数解；④点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，若x<sub>1</sub>+x<sub>2</sub> $＞-\frac12$ ，x<sub>1</sub>＞x<sub>2</sub>，总有y<sub>1</sub>＜y<sub>2</sub>，则0＜m $\leq\frac12$ ．其中正确的是 　             　（填写序号）．,利用二次函数的图象求一元二次方程的近似根,分析,题型
iqbEACL1D6lxxxRxCrr,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数，a＜0）经过（﹣1，1），（m，1）两点，且0＜m＜1．下列四个结论：①b＞0；②若0＜x＜1，则a（x﹣1）<sup>2</sup>+b（x﹣1）+c＞1；③若a＝﹣1，则关于x的一元二次方程ax<sup>2</sup>+bx+c＝2无实数解；④点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，若x<sub>1</sub>+x<sub>2</sub> $＞-\frac12$ ，x<sub>1</sub>＞x<sub>2</sub>，总有y<sub>1</sub>＜y<sub>2</sub>，则0＜m $\leq\frac12$ ．其中正确的是 　             　（填写序号）．,二次函数中的不等式解集问题,分析,题型
iqbEACL1D6lxxxRxCrr,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数，a＜0）经过（﹣1，1），（m，1）两点，且0＜m＜1．下列四个结论：①b＞0；②若0＜x＜1，则a（x﹣1）<sup>2</sup>+b（x﹣1）+c＞1；③若a＝﹣1，则关于x的一元二次方程ax<sup>2</sup>+bx+c＝2无实数解；④点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，若x<sub>1</sub>+x<sub>2</sub> $＞-\frac12$ ，x<sub>1</sub>＞x<sub>2</sub>，总有y<sub>1</sub>＜y<sub>2</sub>，则0＜m $\leq\frac12$ ．其中正确的是 　             　（填写序号）．,二次函数与一元二次方程的关系,分析,知识点
iqbEACL1D6lxxxRxCrr,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数，a＜0）经过（﹣1，1），（m，1）两点，且0＜m＜1．下列四个结论：①b＞0；②若0＜x＜1，则a（x﹣1）<sup>2</sup>+b（x﹣1）+c＞1；③若a＝﹣1，则关于x的一元二次方程ax<sup>2</sup>+bx+c＝2无实数解；④点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，若x<sub>1</sub>+x<sub>2</sub> $＞-\frac12$ ，x<sub>1</sub>＞x<sub>2</sub>，总有y<sub>1</sub>＜y<sub>2</sub>，则0＜m $\leq\frac12$ ．其中正确的是 　             　（填写序号）．,二次函数值的大小比较,分析,题型
IUQRY7KBYSOmtwZwFNG,某新建工业园区今年六月份提供就业岗位1501个，并按计划逐月增长，预计八月份将提供岗位1815个，设七、八两个月提供就业岗位数量的月平均增长率为x，根据题意，可列方程为 　                    　．,列一元二次方程解决增长率问题,应用,题型
iW3KApa8mW6wngLEX8x,已知二次函数y＝ax<sup>2</sup>+bx+c（a＜0）的图象与x轴的一个交点坐标为（﹣1，0），对称轴为直线x＝1，下列论中；①a﹣b+c＝0；②若点（﹣3，y<sub>1</sub>），（2，y<sub>2</sub>），（4，y<sub>3</sub>）均在该二次函数图象上，则y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub>；③若m为任意实数，则am<sup>2</sup>+bm+c⩽﹣4a；④方程ax<sup>2</sup>+bx+c+1＝0的两实数根为x<sub>1</sub>，x<sub>2</sub>，且x<sub>1</sub>＜x<sub>2</sub>，则x<sub>1</sub>＜﹣1，x<sub>2</sub>＞3．正确结论的序号为(   )A．①②③B．①③④C．②③④D．①④,二次函数图象与性质的综合判断,分析,题型
iW3KApa8mW6wngLEX8x,已知二次函数y＝ax<sup>2</sup>+bx+c（a＜0）的图象与x轴的一个交点坐标为（﹣1，0），对称轴为直线x＝1，下列论中；①a﹣b+c＝0；②若点（﹣3，y<sub>1</sub>），（2，y<sub>2</sub>），（4，y<sub>3</sub>）均在该二次函数图象上，则y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub>；③若m为任意实数，则am<sup>2</sup>+bm+c⩽﹣4a；④方程ax<sup>2</sup>+bx+c+1＝0的两实数根为x<sub>1</sub>，x<sub>2</sub>，且x<sub>1</sub>＜x<sub>2</sub>，则x<sub>1</sub>＜﹣1，x<sub>2</sub>＞3．正确结论的序号为(   )A．①②③B．①③④C．②③④D．①④,二次函数与x轴交点的关系,理解,知识点
Iwtv1rxcSjcaqArRNe5,先化简，再求值： $\frac{x^2-1}{x^2}\div\frac{x-1}x-$ 1，其中x $=\sqrt3$ ．,分母、分子有理化,应用,题型
Iwtv1rxcSjcaqArRNe5,先化简，再求值： $\frac{x^2-1}{x^2}\div\frac{x-1}x-$ 1，其中x $=\sqrt3$ ．,分式的加减运算,应用,题型
JfKV3zRJAJPM4AsBtyS,计算（2a<sup>4</sup>）<sup>3</sup>的结果是(   )A．2a<sup>12</sup>B．8a<sup>12</sup>C．6a<sup>7</sup> D．8a<sup>7</sup>,积的乘方运算法则,理解,知识点
JfKV3zRJAJPM4AsBtyS,计算（2a<sup>4</sup>）<sup>3</sup>的结果是(   )A．2a<sup>12</sup>B．8a<sup>12</sup>C．6a<sup>7</sup> D．8a<sup>7</sup>,积的乘方的运算,应用,题型
jlTZWL5i6saX4jKVJmo,小亮了解了祖冲之、刘徽、赵爽、杨辉、秦九韶这5位著名数学家的生平简介，知晓他们取得的伟大成就对我国乃至世界数学发展起到的巨大推进作用，准备在数学课上随机选取其中一位的成就进行分享，选到数学家赵爽的概率是 　             　．,概率的定义,记忆,知识点
jlTZWL5i6saX4jKVJmo,小亮了解了祖冲之、刘徽、赵爽、杨辉、秦九韶这5位著名数学家的生平简介，知晓他们取得的伟大成就对我国乃至世界数学发展起到的巨大推进作用，准备在数学课上随机选取其中一位的成就进行分享，选到数学家赵爽的概率是 　             　．,利用概率的定义求概率,应用,题型
k5OMmBwhzYsWCPwuNgu,若式子 $\frac1{\sqrt{\mathrm x-1}}$ 有意义，则实数x的取值范围是               .,分式有无意义时的字母取值,应用,题型
kaZhMJO681D2tM2xXIN,一元二次方程x<sup>2</sup>﹣3x+a＝0的一个解为x＝1，则a＝　 　．,一元二次方程的根,理解,知识点
kaZhMJO681D2tM2xXIN,一元二次方程x<sup>2</sup>﹣3x+a＝0的一个解为x＝1，则a＝　 　．,利用一元二次方程的解求待定字母,应用,题型
kdQipB1zgbNJrmwqpBh,我市某校开展“共创文明班，一起向未来”的古诗文朗诵比赛活动，有10位同学参加了初赛，按初赛成绩由高到低取前5位进入决赛．如果小王同学知道了自己的成绩后，要判断能否进入决赛，他需要知道这10位同学成绩的(   )A．平均数B．众数C．中位数D．方差,综合利用统计量进行决策,评价与创造,题型
kdQipB1zgbNJrmwqpBh,我市某校开展“共创文明班，一起向未来”的古诗文朗诵比赛活动，有10位同学参加了初赛，按初赛成绩由高到低取前5位进入决赛．如果小王同学知道了自己的成绩后，要判断能否进入决赛，他需要知道这10位同学成绩的(   )A．平均数B．众数C．中位数D．方差,平均数,记忆,知识点
kdQipB1zgbNJrmwqpBh,我市某校开展“共创文明班，一起向未来”的古诗文朗诵比赛活动，有10位同学参加了初赛，按初赛成绩由高到低取前5位进入决赛．如果小王同学知道了自己的成绩后，要判断能否进入决赛，他需要知道这10位同学成绩的(   )A．平均数B．众数C．中位数D．方差,方差,记忆,知识点
kdQipB1zgbNJrmwqpBh,我市某校开展“共创文明班，一起向未来”的古诗文朗诵比赛活动，有10位同学参加了初赛，按初赛成绩由高到低取前5位进入决赛．如果小王同学知道了自己的成绩后，要判断能否进入决赛，他需要知道这10位同学成绩的(   )A．平均数B．众数C．中位数D．方差,中位数,记忆,知识点
kdQipB1zgbNJrmwqpBh,我市某校开展“共创文明班，一起向未来”的古诗文朗诵比赛活动，有10位同学参加了初赛，按初赛成绩由高到低取前5位进入决赛．如果小王同学知道了自己的成绩后，要判断能否进入决赛，他需要知道这10位同学成绩的(   )A．平均数B．众数C．中位数D．方差,众数,记忆,知识点
kdZAoja0WMhp436Cioo,写出一个大于﹣1的数是 　          　．,正数、负数的定义,记忆,知识点
Kel4dLDh8Z5WJCzLoDD,计算2x•3x<sup>2</sup>的结果是(   )A．5x<sup>2</sup> B．6x<sup>2</sup> C．5x<sup>3</sup> D．6x<sup>3</sup>,单项式乘单项式的运算,应用,题型
Kel4dLDh8Z5WJCzLoDD,计算2x•3x<sup>2</sup>的结果是(   )A．5x<sup>2</sup> B．6x<sup>2</sup> C．5x<sup>3</sup> D．6x<sup>3</sup>,单项式乘单项式的运算法则,理解,知识点
kHXdeFPZwvuYs0963nq,下列实数中，无理数是(   )A．﹣3B．0C． $\frac23$ D． $\sqrt5$,实数的分类问题,理解,题型
kHXdeFPZwvuYs0963nq,下列实数中，无理数是(   )A．﹣3B．0C． $\frac23$ D． $\sqrt5$,无理数的定义,记忆,知识点
kvMccnQvSrFkJZKWmuA,某反比例函数y $=\frac kx$ 具有下列性质：当x＞0时，y随x的增大而减小．写出一个满足条件的k的值是 　 　        ．,反比例函数的图象与性质,理解,知识点
kvMccnQvSrFkJZKWmuA,某反比例函数y $=\frac kx$ 具有下列性质：当x＞0时，y随x的增大而减小．写出一个满足条件的k的值是 　 　        ．,反比例函数图象与性质的判断,分析,题型
kWWq5KuLHgxZdbGP0bB,某反比例函数图象上四个点的坐标分别为（﹣3，y<sub>1</sub>），（﹣2，3），（1，y<sub>2</sub>），（2，y<sub>3</sub>），则，y<sub>1</sub>，y<sub>2</sub>，y<sub>3</sub>的大小关系为(   )A．y<sub>2</sub>＜y<sub>1</sub>＜y<sub>3</sub> B．y<sub>3</sub>＜y<sub>2</sub>＜y<sub>1</sub>C．y<sub>2</sub>＜y<sub>3</sub>＜y<sub>1</sub>D．y<sub>1</sub>＜y<sub>3</sub>＜y<sub>2</sub>,反比例函数值的大小比较,分析,题型
l4murDm8Kx5xBEiEojb,不等式组 $\left\{\begin{array}{l}3x-1\geq x+1\x+4＞4x-2\end{array}\right.$ 的解集是(   )A．1≤x＜2B．x≤1 C．x＞2D．1＜x≤2,解一元一次不等式组,应用,题型
L7l1jBBvBLJBDF3TuMf,下列说法正确的是(   )A．为了解我国中小学生的睡眠情况，应采取全面调查的方式   B．一组数据1，2，5，5，5，3，3的众数和平均数都是3   C．若甲、乙两组数据的方差分别是0.01，0.1，则甲组数据比乙组数据更稳定   D．抛掷一枚硬币200次，一定有100次“正面向上”,概率定义的理解,理解,题型
